Law,Index,LawName,CleanLaw
"
 Kamu görevinin usulsüz olarak üstlenilmesi
 Madde 262- (1) Bir kamu görevini, kanun ve nizamlara aykırı olarak yerine getirmeye teşebbüs eden veya terk emri
 kendisine bildirilmiş olduğu halde görevi sürdüren kimseye üç aydan iki yıla kadar hapis cezası verilir",265,Madde 262, kamu görevinin usulsüz üstlenilmesi madde kamu görevini kanun nizamlara aykırı getirmeye teşebbüs terk emri bildirilmiş halde görevi sürdüren kimseye aydan yıla hapis cezası verilir
"
 –––––––––––
 (1) 8/12/2010 tarihli ve 6086 sayılı Kanunun 1 inci maddesiyle, bu maddenin birinci ve ikinci fıkralarında yer alan “kazanç” ibareleri
 “menfaat”, birinci fıkrasında yer alan “bir yıldan üç yıla kadar” ibaresi “altı aydan iki yıla kadar”, ikinci fıkrasında yer alan “altı
 aydan iki yıla kadar” ibaresi “üç aydan bir yıla kadar” ve üçüncü fıkrasında yer alan “birinci fıkra hükmüne göre” ibaresi “bir yıldan üç
 yıla kadar hapis ve beşbin güne kadar adli para cezası ile” şeklinde değiştirilmiş ve metne işlenmiştir",265,Madde 262, tarihli sayılı kanunun inci maddesiyle maddenin birinci ikinci fıkralarında yer alan kazanç ibareleri menfaat birinci fıkrasında yer alan yıldan yıla ibaresi altı aydan yıla ikinci fıkrasında yer alan altı aydan yıla ibaresi aydan yıla üçüncü fıkrasında yer alan birinci fıkra hükmüne ibaresi yıldan yıla hapis beşbin güne adli para cezası şeklinde değiştirilmiş metne işlenmiştir
"
 9028
 Kanuna aykırı eğitim kurumu
  Madde 263 – (Mülga – 17/4/2013-6460/13 md",266,Madde 263 – (Mülga – 17/4/2013, kanuna aykırı eğitim kurumu madde mülga md
")
 Özel işaret ve kıyafetleri usulsüz kullanma
 Madde 264- (1) Bir rütbe veya kamu görevinin veya mesleğin, resmi elbisesini yetkisi olmaksızın alenen ve
 başkalarını yanıltacak şekilde giyen veya hakkı olmayan nişan veya madalyaları takan kimseye üç aydan bir yıla kadar hapis
 cezası verilir",267,Madde 264, özel işaret kıyafetleri usulsüz kullanma madde rütbe kamu görevinin mesleğin resmi elbisesini yetkisi olmaksızın alenen başkalarını yanıltacak şekilde giyen hakkı olmayan nişan madalyaları takan kimseye aydan yıla hapis cezası verilir
"
 (2) Elbisenin sağlayacağı kolaylık ve olanaklardan yararlanarak bir suç işlenirse, yalnız bu fiilden ötürü yukarıdaki
 fıkrada belirtilen cezalar üçte biri oranında artırılarak hükmolunur",267,Madde 264, elbisenin sağlayacağı kolaylık olanaklardan yararlanarak suç işlenirse fiilden ötürü yukarıdaki fıkrada belirtilen cezalar üçte oranında artırılarak hükmolunur
"
 Görevi yaptırmamak için direnme
  Madde 265- (1) Kamu görevlisine karşı görevini yapmasını engellemek amacıyla, cebir veya tehdit kullanan kişi, altı
 aydan üç yıla kadar hapis cezası ile cezalandırılır",268,Madde 265, görevi yaptırmamak direnme madde kamu görevlisine karşı görevini yapmasını engellemek amacıyla cebir tehdit kullanan kişi altı aydan yıla hapis cezası cezalandırılır
"
 (2) Suçun yargı görevi yapan kişilere karşı işlenmesi halinde, iki yıldan dört yıla kadar hapis cezasına hükmolunur",268,Madde 265, suçun yargı görevi yapan kişilere karşı işlenmesi halinde yıldan yıla hapis cezasına hükmolunur
"
 (3) Suçun, kişinin kendisini tanınmayacak bir hale koyması suretiyle veya birden fazla kişi tarafından birlikte
 işlenmesi halinde, verilecek ceza üçte biri oranında artırılır",268,Madde 265, suçun kişinin tanınmayacak hale koyması suretiyle kişi işlenmesi halinde verilecek ceza üçte oranında artırılır
"
 (4) Suçun, silahla ya da var olan veya var sayılan suç örgütlerinin oluşturdukları korkutucu güçten yararlanılarak
 işlenmesi halinde, yukarıdaki fıkralara göre verilecek ceza yarı oranında artırılır",268,Madde 265, suçun silahla sayılan suç örgütlerinin oluşturdukları korkutucu güçten yararlanılarak işlenmesi halinde yukarıdaki fıkralara verilecek ceza yarı oranında artırılır
"
 (5) Bu suçun işlenmesi sırasında kasten yaralama suçunun neticesi sebebiyle ağırlaşmış hallerinin gerçekleşmesi
 durumunda, ayrıca kasten yaralama suçuna ilişkin hükümler uygulanır",268,Madde 265, suçun işlenmesi sırasında kasten yaralama suçunun neticesi sebebiyle ağırlaşmış hallerinin gerçekleşmesi durumunda kasten yaralama suçuna ilişkin hükümler uygulanır
"
 Kamu görevine ait araç ve gereçleri suçta kullanma
 Madde 266- (1) Görevi gereği olarak elinde bulundurduğu araç ve gereçleri bir suçun işlenmesi sırasında kullanan
 kamu görevlisi hakkında, ilgili suçun tanımında kamu görevlisi sıfatı esasen göz önünde bulundurulmamış ise, verilecek ceza
 üçte biri oranında artırılır",269,Madde 266, kamu görevine araç gereçleri suçta kullanma madde görevi gereği elinde bulundurduğu araç gereçleri suçun işlenmesi sırasında kullanan kamu görevlisi hakkında suçun tanımında kamu görevlisi sıfatı göz önünde bulundurulmamış verilecek ceza üçte oranında artırılır
"
 İKİNCİ BÖLÜM
 Adliyeye Karşı Suçlar
 İftira
 Madde 267- (1) Yetkili makamlara ihbar veya şikayette bulunarak ya da basın ve yayın yoluyla, işlemediğini bildiği
 halde, hakkında soruşturma ve kovuşturma başlatılmasını ya da idari bir yaptırım uygulanmasını sağlamak için bir kimseye
 hukuka aykırı bir fiil isnat eden kişi, bir yıldan dört yıla kadar hapis cezası ile cezalandırılır",270,Madde 267, ikinci bölüm adliyeye karşı suçlar iftira madde yetkili makamlara ihbar şikayette bulunarak basın yayın işlemediğini bildiği halde hakkında soruşturma kovuşturma başlatılmasını idari yaptırım uygulanmasını sağlamak kimseye hukuka aykırı fiil isnat kişi yıldan yıla hapis cezası cezalandırılır
"
 (2) Fiilin maddî eser ve delillerini uydurarak iftirada bulunulması halinde, ceza yarı oranında artırılır",270,Madde 267, fiilin maddî eser delillerini uydurarak iftirada bulunulması halinde ceza yarı oranında artırılır
"
 (3) Yüklenen fiili işlemediğinden dolayı hakkında beraat kararı veya kovuşturmaya yer olmadığına dair karar verilmiş
 mağdurun aleyhine olarak bu fiil nedeniyle gözaltına alma ve tutuklama dışında başka bir koruma tedbiri uygulanmışsa,
 yukarıdaki fıkralara göre verilecek ceza yarı oranında artırılır",270,Madde 267, yüklenen fiili işlemediğinden hakkında beraat kararı kovuşturmaya yer olmadığına karar verilmiş mağdurun aleyhine fiil gözaltına alma tutuklama dışında koruma tedbiri uygulanmışsa yukarıdaki fıkralara verilecek ceza yarı oranında artırılır
"
 9029
 (4) Yüklenen fiili işlemediğinden dolayı hakkında beraat kararı veya kovuşturmaya yer olmadığına dair karar verilmiş
 olan mağdurun bu fiil nedeniyle gözaltına alınması veya tutuklanması halinde; iftira eden, ayrıca kişiyi hürriyetinden yoksun
 kılma suçuna ilişkin hükümlere göre dolaylı fail olarak sorumlu tutulur",270,Madde 267, yüklenen fiili işlemediğinden hakkında beraat kararı kovuşturmaya yer olmadığına karar verilmiş mağdurun fiil gözaltına alınması tutuklanması halinde iftira kişiyi hürriyetinden yoksun kılma suçuna ilişkin hükümlere dolaylı fail sorumlu tutulur
"
 (5) Mağdurun ağırlaştırılmış müebbet hapis veya müebbet hapis cezasına mahkûmiyeti halinde, yirmi yıldan otuz yıla
 kadar hapis cezasına; (…) (1) hükmolunur",270,Madde 267, mağdurun ağırlaştırılmış müebbet hapis müebbet hapis cezasına mahkûmiyeti halinde yıldan yıla hapis cezasına hükmolunur
" (1)
 (6) Mağdurun mahkûm olduğu hapis cezasının infazına başlanmış ise, beşinci fıkraya göre verilecek ceza yarısı kadar
 artırılır",270,Madde 267, mağdurun mahkûm hapis cezasının infazına başlanmış beşinci fıkraya verilecek ceza yarısı artırılır
"
 (7) (İptal: Anayasa Mahkemesi’nin 17/11/2011 tarihli ve E.: 2010/115, K.: 2011/154 sayılı Kararı ile.) (2)
 (8) İftira suçundan dolayı dava zamanaşımı, mağdurun fiili işlemediğinin sabit olduğu tarihten başlar",270,Madde 267, iptal anayasa mahkemesi nin tarihli sayılı kararı iftira suçundan dava zamanaşımı mağdurun fiili işlemediğinin sabit tarihten başlar
"
 (9) Basın ve yayın yoluyla işlenen iftira suçundan dolayı verilen mahkûmiyet kararı, aynı veya eşdeğerde basın ve
 yayın organıyla ilan olunur",270,Madde 267, basın yayın işlenen iftira suçundan verilen mahkûmiyet kararı aynı eşdeğerde basın yayın organıyla ilan olunur
"[' İlan masrafı, hükümlüden tahsil edilir']",270,Madde 267, ilan masrafı hükümlüden tahsil edilir
"
 Başkasına ait kimlik veya kimlik bilgilerinin kullanılması
  Madde 268- (1) İşlediği suç nedeniyle kendisi hakkında soruşturma ve kovuşturma yapılmasını engellemek amacıyla,
 başkasına ait kimliği veya kimlik bilgilerini kullanan kimse, iftira suçuna ilişkin hükümlere göre cezalandırılır",271,Madde 268, kimlik kimlik bilgilerinin kullanılması madde işlediği suç hakkında soruşturma kovuşturma yapılmasını engellemek amacıyla kimliği kimlik bilgilerini kullanan iftira suçuna ilişkin hükümlere cezalandırılır
"(3)
 Etkin pişmanlık
 Madde 269- (1) İftira edenin, mağdur hakkında adlî veya idari soruşturma başlamadan önce, iftirasından dönmesi
 halinde, hakkında iftira suçundan dolayı verilecek cezanın beşte dördü indirilir",272,Madde 269, etkin pişmanlık madde iftira edenin mağdur hakkında adlî idari soruşturma başlamadan iftirasından dönmesi halinde hakkında iftira suçundan verilecek cezanın beşte dördü indirilir
"
 (2) Mağdur hakkında kovuşturma başlamadan önce iftiradan dönme halinde, iftira suçundan dolayı verilecek cezanın
 dörtte üçü indirilir",272,Madde 269, mağdur hakkında kovuşturma başlamadan iftiradan dönme halinde iftira suçundan verilecek cezanın dörtte üçü indirilir
"
 (3) Etkin pişmanlığın;
 a) Mağdur hakkında hükümden önce gerçekleşmesi halinde, verilecek cezanın üçte ikisi,
 b) Mağdurun mahkûmiyetinden sonra gerçekleşmesi halinde, verilecek cezanın yarısı,
 c) Hükmolunan cezanın infazına başlanması halinde, verilecek cezanın üçte biri,
 İndirilebilir",272,Madde 269, etkin pişmanlığın mağdur hakkında hükümden gerçekleşmesi halinde verilecek cezanın üçte ikisi mağdurun mahkûmiyetinden gerçekleşmesi halinde verilecek cezanın yarısı hükmolunan cezanın infazına başlanması halinde verilecek cezanın üçte indirilebilir
"
 (4) İftiranın konusunu oluşturan münhasıran idari yaptırım uygulanmasını gerektiren fiil dolayısıyla;
 a) İdari yaptırıma karar verilmeden önce etkin pişmanlıkta bulunulması halinde, verilecek cezanın yarısı,
 b) İdari yaptırım uygulandıktan sonra etkin pişmanlıkta bulunulması halinde, verilecek cezanın üçte biri,
 İndirilebilir",272,Madde 269, iftiranın konusunu oluşturan münhasıran idari yaptırım uygulanmasını gerektiren fiil idari yaptırıma karar verilmeden etkin pişmanlıkta bulunulması halinde verilecek cezanın yarısı idari yaptırım uygulandıktan etkin pişmanlıkta bulunulması halinde verilecek cezanın üçte indirilebilir
"
 (5) (Değişik: 29/6/2005 – 5377/31 md",272,Madde 269, değişik md
") Basın ve yayın yoluyla yapılan iftiradan dolayı etkin pişmanlık
 hükümlerinden yararlanılabilmesi için, bunun aynı yöntemle yayınlanması gerekir",272,Madde 269, basın yayın iftiradan etkin pişmanlık hükümlerinden yararlanılabilmesi aynı yöntemle yayınlanması gerekir
"
 ________________________
 (1) Bu fıkranın “…süreli hapis cezasına mahkûmiyeti halinde, mahkûm olunan cezanın üçte ikisi kadar hapis cezasına…” bölümü, Anayasa
 Mahkemesi’nin 10/4/2013 tarihli ve E.: 2013/14, K.: 2013/56 sayılı Kararı ile iptal edilmiştir.
 (2) Söz konusu Karar Resmi Gazete’de yayımlandığı 17/3/2012 tarihinden başlayarak bir yıl sonra yürürlüğe girmiştir",272,Madde 269, fıkranın süreli hapis cezasına mahkûmiyeti halinde mahkûm olunan cezanın üçte ikisi hapis cezasına bölümü anayasa mahkemesi nin tarihli sayılı kararı iptal edilmiştir söz konusu karar resmi gazete yayımlandığı tarihinden başlayarak yıl yürürlüğe girmiştir
"
 (3) Bu fıkrada geçen ""bu kişiye"" ibaresi, 29/6/2005 tarihli ve 5377 sayılı Kanunun 30 uncu maddesiyle ""başkasına"" olarak değiştirilmiş ve
 metne işlenmiştir",272,Madde 269, fıkrada geçen kişiye ibaresi tarihli sayılı kanunun uncu maddesiyle değiştirilmiş metne işlenmiştir
"
 9030
 Suç üstlenme
  Madde 270- (1) Yetkili makamlara, gerçeğe aykırı olarak, suçu işlediğini veya suça katıldığını bildiren kimseye iki
 yıla kadar hapis cezası verilir",273,Madde 270, suç üstlenme madde yetkili makamlara gerçeğe aykırı suçu işlediğini suça katıldığını bildiren kimseye yıla hapis cezası verilir
" Bu suçun üstsoy, altsoy, eş veya kardeşi cezadan kurtarmak amacıyla işlenmesi halinde;
 verilecek cezanın dörtte üçü indirilebileceği gibi tamamen de kaldırılabilir",273,Madde 270, suçun üstsoy altsoy eş kardeşi cezadan kurtarmak amacıyla işlenmesi halinde verilecek cezanın dörtte üçü indirilebileceği kaldırılabilir
"
 Suç uydurma
  Madde 271- (1) İşlenmediğini bildiği bir suçu, yetkili makamlara işlenmiş gibi ihbar eden ya da işlenmeyen bir suçun
 delil veya emarelerini soruşturma yapılmasını sağlayacak biçimde uyduran kimseye üç yıla kadar hapis cezası verilir",274,Madde 271, suç uydurma madde işlenmediğini bildiği suçu yetkili makamlara işlenmiş ihbar işlenmeyen suçun delil emarelerini soruşturma yapılmasını sağlayacak biçimde uyduran kimseye yıla hapis cezası verilir
"
 Yalan tanıklık
 Madde 272- (1) Hukuka aykırı bir fiil nedeniyle başlatılan bir soruşturma kapsamında tanık dinlemeye yetkili kişi
 veya kurul önünde gerçeğe aykırı olarak tanıklık yapan kimseye, dört aydan bir yıla kadar hapis cezası verilir",275,Madde 272, yalan tanıklık madde hukuka aykırı fiil başlatılan soruşturma kapsamında tanık dinlemeye yetkili kişi kurul önünde gerçeğe aykırı tanıklık yapan kimseye aydan yıla hapis cezası verilir
"
 (2) Mahkeme huzurunda ya da yemin ettirerek tanık dinlemeye kanunen yetkili kişi veya kurul önünde gerçeğe aykırı
 olarak tanıklık yapan kimseye bir yıldan üç yıla kadar hapis cezası verilir",275,Madde 272, mahkeme huzurunda yemin ettirerek tanık dinlemeye kanunen yetkili kişi kurul önünde gerçeğe aykırı tanıklık yapan kimseye yıldan yıla hapis cezası verilir
"
 (3) Üç yıldan fazla hapis cezasını gerektiren bir suçun soruşturma veya kovuşturması kapsamında yalan tanıklık
 yapan kişi hakkında iki yıldan dört yıla kadar hapis cezasına hükmolunur",275,Madde 272, yıldan hapis cezasını gerektiren suçun soruşturma kovuşturması kapsamında yalan tanıklık yapan kişi hakkında yıldan yıla hapis cezasına hükmolunur
"
 (4) Aleyhine tanıklıkta bulunulan kişi ile ilgili olarak gözaltına alma ve tutuklama dışında başka bir koruma tedbiri
 uygulanmışsa, yüklenen fiili işlemediğinden dolayı hakkında beraat kararı veya kovuşturmaya yer olmadığına dair karar
 verilmiş olması koşuluyla, yukarıdaki fıkralara göre verilecek ceza yarı oranında artırılır",275,Madde 272, aleyhine tanıklıkta bulunulan kişi gözaltına alma tutuklama dışında koruma tedbiri uygulanmışsa yüklenen fiili işlemediğinden hakkında beraat kararı kovuşturmaya yer olmadığına karar verilmiş koşuluyla yukarıdaki fıkralara verilecek ceza yarı oranında artırılır
"
 (5) Aleyhine tanıklıkta bulunulan kişinin gözaltına alınması veya tutuklanması halinde; yüklenen fiili işlemediğinden
 dolayı hakkında beraat kararı veya kovuşturmaya yer olmadığına dair karar verilmiş olması koşuluyla; yalan tanıklık yapan
 kişi, ayrıca kişiyi hürriyetinden yoksun kılma suçuna ilişkin hükümlere göre dolaylı fail olarak sorumlu tutulur",275,Madde 272, aleyhine tanıklıkta bulunulan kişinin gözaltına alınması tutuklanması halinde yüklenen fiili işlemediğinden hakkında beraat kararı kovuşturmaya yer olmadığına karar verilmiş koşuluyla yalan tanıklık yapan kişi kişiyi hürriyetinden yoksun kılma suçuna ilişkin hükümlere dolaylı fail sorumlu tutulur
"
 (6) Aleyhine tanıklıkta bulunulan kimsenin ağırlaştırılmış müebbet hapis veya müebbet hapis cezasına mahkûmiyeti
 halinde, yirmi yıldan otuz yıla kadar hapis cezasına; (…)(1) hükmolunur",275,Madde 272, aleyhine tanıklıkta bulunulan kimsenin ağırlaştırılmış müebbet hapis müebbet hapis cezasına mahkûmiyeti halinde yıldan yıla hapis cezasına hükmolunur
"(1)
 (7) Aleyhine tanıklıkta bulunulan kimsenin mahkûm olduğu hapis cezasının infazına başlanmış ise, altıncı fıkraya
 göre verilecek ceza yarısı kadar artırılır",275,Madde 272, aleyhine tanıklıkta bulunulan kimsenin mahkûm hapis cezasının infazına başlanmış altıncı fıkraya verilecek ceza yarısı artırılır
"
 (8) Aleyhine tanıklıkta bulunulan kişi hakkında hapis cezası dışında adlî veya idari bir yaptırım uygulanmışsa; yalan
 tanıklıkta bulunan kişi, üç yıldan yedi yıla kadar hapis cezası ile cezalandırılır",275,Madde 272, aleyhine tanıklıkta bulunulan kişi hakkında hapis cezası dışında adlî idari yaptırım uygulanmışsa yalan tanıklıkta bulunan kişi yıldan yıla hapis cezası cezalandırılır
"
 Şahsi cezasızlık veya cezanın azaltılmasını gerektiren sebepler
  Madde 273- (1) Kişinin;
 a) Kendisinin, üstsoy, altsoy, eş veya kardeşinin soruşturma ve kovuşturmaya uğramasına neden olabilecek bir
 hususla ilgili olarak yalan tanıklıkta bulunması,
 b) Tanıklıktan çekinme hakkı olmasına rağmen, bu hakkı kendisine hatırlatılmadan gerçeğe aykırı olarak tanıklık
 yapması,
 Halinde, verilecek cezada indirim yapılabileceği gibi, ceza vermekten de vazgeçilebilir",276,Madde 273, şahsi cezasızlık cezanın azaltılmasını gerektiren sebepler madde kişinin üstsoy altsoy eş kardeşinin soruşturma kovuşturmaya uğramasına olabilecek hususla yalan tanıklıkta bulunması tanıklıktan çekinme hakkı olmasına hakkı hatırlatılmadan gerçeğe aykırı tanıklık yapması halinde verilecek cezada indirim yapılabileceği ceza vermekten vazgeçilebilir
"
 _____________
 (1) Anayasa Mahkemesi’nin 14/1/2015 tarihli ve E:2014/116, K:2015/4 sayılı Kararı ile bu bentte yer alan “…süreli hapis cezasına
 mahkûmiyeti halinde, mahkûm olunan cezanın üçte ikisi kadar hapis cezasına…” ibaresi iptal edilmiş olup, söz konusu Karar Resmi
 Gazete’de yayımlandığı 29/4/2015 tarihinden başlayarak altı ay sonra yürürlüğe girmiştir",276,Madde 273, anayasa mahkemesi nin tarihli sayılı kararı bentte yer alan süreli hapis cezasına mahkûmiyeti halinde mahkûm olunan cezanın üçte ikisi hapis cezasına ibaresi iptal edilmiş söz konusu karar resmi gazete yayımlandığı tarihinden başlayarak altı ay yürürlüğe girmiştir
"
 9031
 (2) Birinci fıkra hükmü, özel hukuk uyuşmazlıkları kapsamında yapılan yalan tanıklık hallerinde uygulanmaz",276,Madde 273, birinci fıkra hükmü özel hukuk uyuşmazlıkları kapsamında yalan tanıklık hallerinde uygulanmaz
"
 Etkin pişmanlık
 Madde 274- (1) Aleyhine tanıklık yapılan kişi hakkında bir hak kısıtlamasını veya yoksunluğunu sonuçlayacak nitelikte karar
 verilmeden veya hükümden önce gerçeğin söylenmesi halinde, cezaya hükmolunmaz",277,Madde 274, etkin pişmanlık madde aleyhine tanıklık kişi hakkında hak kısıtlamasını yoksunluğunu sonuçlayacak nitelikte karar verilmeden hükümden gerçeğin söylenmesi halinde cezaya hükmolunmaz
"
 (2) Aleyhine tanıklık yapılan kişi hakkında bir hak kısıtlamasını veya yoksunluğunu sonuçlayacak nitelikte karar verildikten sonra ve
 fakat hükümden önce gerçeğin söylenmesi halinde, verilecek cezanın üçte ikisinden yarısına kadarı indirilebilir",277,Madde 274, aleyhine tanıklık kişi hakkında hak kısıtlamasını yoksunluğunu sonuçlayacak nitelikte karar verildikten hükümden gerçeğin söylenmesi halinde verilecek cezanın üçte ikisinden yarısına kadarı indirilebilir
"
 (3) Aleyhine tanıklık yapılan kişi hakkında verilen mahkûmiyet kararı kesinleşmeden önce gerçeğin söylenmesi halinde, verilecek
 cezanın yarısından üçte birine kadarı indirilebilir",277,Madde 274, aleyhine tanıklık kişi hakkında verilen mahkûmiyet kararı kesinleşmeden gerçeğin söylenmesi halinde verilecek cezanın yarısından üçte kadarı indirilebilir
"
 Yalan yere yemin
  Madde 275- (1) Hukuk davalarında yalan yere yemin eden davacı veya davalıya bir yıldan beş yıla kadar hapis cezası verilir",278,Madde 275, yalan yere yemin madde hukuk davalarında yalan yere yemin davacı davalıya yıldan beş yıla hapis cezası verilir
"
 (2) Dava hakkında hüküm verilmeden önce gerçeğin söylenmesi halinde, cezaya hükmolunmaz",278,Madde 275, dava hakkında hüküm verilmeden gerçeğin söylenmesi halinde cezaya hükmolunmaz
"
 (3) Hükmün icraya konulmasından veya kesinleşmesinden önce gerçeğin söylenmesi halinde, verilecek cezanın yarısı indirilir",278,Madde 275, hükmün icraya konulmasından kesinleşmesinden gerçeğin söylenmesi halinde verilecek cezanın yarısı indirilir
"
 Gerçeğe aykırı bilirkişilik veya tercümanlık (1)
 Madde 276- (1) Yargı mercileri veya suçtan dolayı kanunen soruşturma yapmak veya yemin altında tanık dinlemek yetkisine sahip
 bulunan kişi veya kurul tarafından görevlendirilen bilirkişinin gerçeğe aykırı mütalaada bulunması halinde, üç yıldan yedi yıla kadar hapis
 cezasına hükmolunur",279,Madde 276, gerçeğe aykırı bilirkişilik tercümanlık madde yargı mercileri suçtan kanunen soruşturma yemin altında tanık dinlemek yetkisine sahip bulunan kişi kurul görevlendirilen bilirkişinin gerçeğe aykırı mütalaada bulunması halinde yıldan yıla hapis cezasına hükmolunur
"
 (2) Birinci fıkrada belirtilen kişi veya kurullar tarafından görevlendirilen tercümanın ifade veya belgeleri gerçeğe aykırı olarak
 tercüme etmesi halinde, birinci fıkra hükmü uygulanır",279,Madde 276, birinci fıkrada belirtilen kişi kurullar görevlendirilen tercümanın ifade belgeleri gerçeğe aykırı tercüme halinde birinci fıkra hükmü uygulanır
"
 Yargı görevi yapanı, bilirkişiyi veya tanığı etkilemeye teşebbüs (2)
 Madde 277- (Değişik: 2/7/2012-6352/90md",280,Madde 277, yargı görevi yapanı bilirkişiyi tanığı etkilemeye teşebbüs madde değişik md
")
 (1) Görülmekte olan bir davada (…)(3) gerçeğin ortaya çıkmasını engellemek veya bir haksızlık oluşturmak amacıyla, davanın
 taraflarından birinin, (…)(3) sanığın, katılanın veya mağdurun lehine veya aleyhine sonuç doğuracak bir karar vermesi veya bir işlem tesis
 etmesi ya da beyanda bulunması için, yargı görevi yapanı, bilirkişiyi veya tanığı hukuka aykırı olarak etkilemeye teşebbüs eden kişi, iki
 yıldan dört yıla kadar hapis cezası ile cezalandırılır",280,Madde 277, görülmekte davada gerçeğin ortaya çıkmasını engellemek haksızlık oluşturmak amacıyla davanın taraflarından sanığın katılanın mağdurun lehine aleyhine sonuç doğuracak karar vermesi işlem tesis beyanda bulunması yargı görevi yapanı bilirkişiyi tanığı hukuka aykırı etkilemeye teşebbüs kişi yıldan yıla hapis cezası cezalandırılır
[' (Ek cümle: 18/6/2014-6545/69 md'],280,Madde 277, ek cümle md
") Teşebbüs iltimas derecesini geçmediği takdirde
 verilecek ceza altı aydan iki yıla kadardır",280,Madde 277, teşebbüs iltimas derecesini geçmediği takdirde verilecek ceza altı aydan yıla kadardır
"(3)
 (2) Birinci fıkradaki suçu oluşturan fiilin başka bir suçu da oluşturması halinde, fikri içtima hükümlerine göre verilecek ceza
 yarısına kadar artırılır",280,Madde 277, birinci fıkradaki suçu oluşturan fiilin suçu oluşturması halinde fikri içtima hükümlerine verilecek ceza yarısına artırılır
"
 ––––––––––––––––––
 (1) 3/11/2016 tarihli ve 6754 sayılı Kanunun 41 inci maddesiyle, bu maddenin birinci fıkrasında yer alan “bir yıldan üç yıla” ibaresi “üç
 yıldan yedi yıla” şeklinde değiştirilmiştir",280,Madde 277, tarihli sayılı kanunun inci maddesiyle maddenin birinci fıkrasında yer alan yıldan yıla ibaresi yıldan yıla şeklinde değiştirilmiştir
"
 (2) Bu madde başlığı “Yargı görevi yapanı etkileme” iken, 2/7/2012 tarihli ve 6352 sayılı Kanunun 90 ıncı maddesiyle metne işlendiği
 şekilde değiştirilmiştir",280,Madde 277, madde başlığı yargı görevi yapanı etkileme tarihli sayılı kanunun ıncı maddesiyle metne işlendiği şekilde değiştirilmiştir
"
 (3) 18/6/2014 tarihli ve 6545 sayılı Kanunun 69 uncu maddesiyle bu fıkrada yer alan “veya yapılmakta olan bir soruşturmada,” ve “şüpheli
 veya” ibareleri madde metninden çıkarılmıştır",280,Madde 277, tarihli sayılı kanunun uncu maddesiyle fıkrada yer alan yapılmakta soruşturmada şüpheli ibareleri madde metninden çıkarılmıştır
"
 9032
 Suçu bildirmeme
 Madde 278- (İptal: Anayasa Mahkemesinin 30/6/2011 tarihli ve E.:2010/52, K.:2011/113 sayılı Kararı ile.;
 Değişik: 2/7/2012-6352/91 md",281,Madde 278, suçu bildirmeme madde iptal anayasa mahkemesinin tarihli sayılı kararı değişik md
")
 (1) İşlenmekte olan bir suçu yetkili makamlara bildirmeyen kişi, bir yıla kadar hapis cezası ile cezalandırılır",281,Madde 278, işlenmekte suçu yetkili makamlara bildirmeyen kişi yıla hapis cezası cezalandırılır
"
 (2) İşlenmiş olmakla birlikte, sebebiyet verdiği neticelerin sınırlandırılması halen mümkün bulunan bir suçu yetkili
 makamlara bildirmeyen kişi, yukarıdaki fıkra hükmüne göre cezalandırılır",281,Madde 278, işlenmiş olmakla sebebiyet verdiği neticelerin sınırlandırılması mümkün bulunan suçu yetkili makamlara bildirmeyen kişi yukarıdaki fıkra hükmüne cezalandırılır
"
 (3) Mağdurun onbeşyaşını bitirmemiş bir çocuk, bedensel veya ruhsal bakımdan engelli olan ya da hamileliği
 nedeniyle kendisini savunamayacak durumda bulunan kimse olması halinde, yukarıdaki fıkralara göre verilecek ceza, yarı
 oranında artırılır",281,Madde 278, mağdurun onbeşyaşını bitirmemiş çocuk bedensel ruhsal bakımdan engelli hamileliği savunamayacak durumda bulunan halinde yukarıdaki fıkralara verilecek ceza yarı oranında artırılır
"(1)
 (4) Tanıklıktan çekinebilecek olan kişiler bakımından cezaya hükmolunmaz",281,Madde 278, tanıklıktan çekinebilecek kişiler bakımından cezaya hükmolunmaz
" Ancak, suçu önleme yükümlülüğünün
 varlığı dolayısıyla ceza sorumluluğuna ilişkin hükümler saklıdır",281,Madde 278, suçu önleme yükümlülüğünün varlığı ceza sorumluluğuna ilişkin hükümler saklıdır
"
 Kamu görevlisinin suçu bildirmemesi
  Madde 279- (1) Kamu adına soruşturma ve kovuşturmayı gerektiren bir suçun işlendiğini göreviyle bağlantılı olarak
 öğrenip de yetkili makamlara bildirimde bulunmayı ihmal eden veya bu hususta gecikme gösteren kamu görevlisi, altı aydan
 iki yıla kadar hapis cezası ile cezalandırılır",282,Madde 279, kamu görevlisinin suçu bildirmemesi madde kamu adına soruşturma kovuşturmayı gerektiren suçun işlendiğini göreviyle bağlantılı öğrenip yetkili makamlara bildirimde bulunmayı ihmal hususta gecikme gösteren kamu görevlisi altı aydan yıla hapis cezası cezalandırılır
"
 (2) Suçun, adlî kolluk görevini yapan kişi tarafından işlenmesi halinde, yukarıdaki fıkraya göre verilecek ceza yarı
 oranında artırılır",282,Madde 279, suçun adlî kolluk görevini yapan kişi işlenmesi halinde yukarıdaki fıkraya verilecek ceza yarı oranında artırılır
